x,y,theta,v_ref
0.3515,-0.0151,-0.0950,2.50
0.3778,-0.0151,0.0172,2.50
0.4561,-0.0133,0.0253,2.50
0.5795,-0.0100,0.0263,2.50
0.7407,-0.0058,0.0252,2.50
0.9329,-0.0011,0.0228,2.50
1.1489,0.0035,0.0198,2.50
1.3816,0.0078,0.0158,2.50
1.6240,0.0110,0.0105,2.50
1.8690,0.0129,0.0039,2.50
2.1096,0.0129,-0.0047,2.50
2.3396,0.0107,-0.0138,2.50
2.5589,0.0067,-0.0216,2.50
2.7693,0.0014,-0.0268,2.50
2.9726,-0.0044,-0.0289,2.50
3.1708,-0.0102,-0.0277,2.50
3.3655,-0.0153,-0.0227,2.50
3.5587,-0.0190,-0.0142,2.50
3.7523,-0.0208,-0.0026,2.50
3.9479,-0.0200,0.0121,2.50
4.1475,-0.0160,0.0270,2.50
4.3516,-0.0091,0.0383,2.50
4.5594,-0.0002,0.0446,2.50
4.7703,0.0096,0.0459,2.50
4.9836,0.0193,0.0425,2.50
5.1984,0.0278,0.0346,2.50
5.4142,0.0342,0.0220,2.50
5.6303,0.0373,0.0044,2.50
5.8458,0.0361,-0.0177,2.50
6.0601,0.0297,-0.0438,2.50
6.2726,0.0174,-0.0677,2.50
6.4834,0.0010,-0.0822,2.50
6.6928,-0.0172,-0.0860,2.50
6.9009,-0.0350,-0.0793,2.50
7.1080,-0.0502,-0.0616,2.50
7.3144,-0.0605,-0.0327,2.48
7.5203,-0.0637,0.0075,2.37
7.7259,-0.0574,0.0590,2.26
7.9314,-0.0394,0.1205,2.14
8.1371,-0.0076,0.1891,2.01
8.3420,0.0392,0.2605,1.88
8.5437,0.1008,0.3329,1.78
8.7399,0.1768,0.4084,1.69
8.9280,0.2671,0.4888,1.64
9.1058,0.3714,0.5753,1.61
9.2708,0.4894,0.6702,1.60
9.4206,0.6209,0.7750,1.61
9.5527,0.7655,0.8910,1.62
9.6649,0.9231,1.0187,1.65
9.7546,1.0933,1.1537,1.69
9.8211,1.2756,1.2801,1.74
9.8668,1.4684,1.3859,1.79
9.8949,1.6701,1.4698,1.86
9.9084,1.8790,1.5344,1.94
9.9103,2.0936,1.5816,2.04
9.9037,2.3122,1.6133,2.20
9.8916,2.5333,1.6306,2.41
9.8772,2.7551,1.6346,2.50
9.8633,2.9761,1.6258,2.50
9.8530,3.1948,1.6085,2.50
9.8469,3.4106,1.5908,2.50
9.8444,3.6239,1.5755,2.50
9.8449,3.8349,1.5632,2.50
9.8476,4.0438,1.5540,2.50
9.8519,4.2510,1.5475,2.50
9.8572,4.4566,1.5447,2.50
9.8626,4.6610,1.5451,2.50
9.8677,4.8644,1.5484,2.50
9.8717,5.0671,1.5552,2.50
9.8740,5.2693,1.5656,2.50
9.8738,5.4713,1.5795,2.50
9.8705,5.6733,1.5963,2.50
9.8635,5.8756,1.6164,2.50
9.8520,6.0786,1.6395,2.50
9.8355,6.2823,1.6657,2.50
9.8131,6.4872,1.6947,2.50
9.7843,6.6934,1.7255,2.42
9.7485,6.9013,1.7590,2.28
9.7048,7.1109,1.7964,2.14
9.6522,7.3209,1.8400,1.99
9.5896,7.5285,1.8927,1.88
9.5154,7.7311,1.9562,1.70
9.4284,7.9259,2.0314,1.50
9.3273,8.1102,2.1201,1.27
9.2108,8.2814,2.2242,1.00
9.0774,8.4366,2.3439,1.00
8.9260,8.5733,2.4778,1.00
8.7552,8.6886,2.6231,1.00
8.5637,8.7800,2.7671,1.00
8.3532,8.8466,2.8914,1.00
8.1298,8.8909,2.9910,1.00
7.8999,8.9154,3.0725,1.00
7.6702,8.9227,3.1416,1.00
7.4472,8.9154,-3.0800,1.00
